PRODUTO           |KIT ID             |QTDE            |COD INTERNO
SECULO 24X1000    |101-24-24          |          1,0000|        11153
SERGERAL 10100    |100-4-4            |          2,0000|        11040
SERGERAL 10100    |100R1AT-4          |         10,1000|        11089
SERMIX 12X3800    |100R2AT-12         |          3,8000|        11100
SERMIX 12X3800    |HG325-28-12 DK     |          2,0000|       335823
SERRANA 10X750    |100R2AT-10         |          0,7500|        11099
SERRANA 10X750    |HG560-10-10        |          1,0000|       339716
SERRANA 10X750    |W03310-10          |          1,0000|       335786
SERRANA 1200      |100-6-6            |          1,0000|        11048
SERRANA 1200      |100R2AT-6          |          1,2000|        11107
SERRANA 1200      |117-6-6            |          1,0000|        11547
SERRANA 12100     |100-8-6            |          2,0000|        11053
SERRANA 12100     |100R2AT-6          |         12,1000|        11107
SERRANA 1400      |100-8-8            |          1,0000|        11054
SERRANA 1400      |100R2AT-8          |          1,4000|        11108
SERRANA 1400      |112-8-8            |          1,0000|        11451
SERRANA 16X650    |100-16-16          |          2,0000|        11033
SERRANA 16X650    |EQUATOR-16         |          0,6500|       337873
SERRANA 16X700    |100-16-16          |          2,0000|        11033
SERRANA 16X700    |100R1AT-16         |          0,7000|        11084
SERRANA 280       |100R2AT-6          |          0,2800|        11107
SERRANA 280       |117-6-6            |          2,0000|        11547
SERRANA 3500      |100-6-6            |          1,0000|        11048
SERRANA 3500      |100R2AT-6          |          3,5000|        11107
SERRANA 3500      |112-6-6            |          1,0000|        11446
SERRANA 390       |100-16-16          |          1,0000|        11033
SERRANA 390       |100R2AT-16         |          0,3900|        11101
SERRANA 390       |112-16-16          |          1,0000|        11434
SERRANA 5800      |100-6-6            |          1,0000|        11048
SERRANA 5800      |100R2AT-6          |          5,8000|        11107
SERRANA 5800      |117-6-6            |          1,0000|        11547
SERRANA 6500      |100-6-6            |          1,0000|        11048
SERRANA 6500      |100R2AT-6          |          6,5000|        11107
SERRANA 6500      |117-6-6            |          1,0000|        11547
SERRANA 6X1040    |100-6-6            |          1,0000|        11048
SERRANA 6X1040    |100R2AT-6          |          1,0000|        11107
SERRANA 6X1040    |112-6-6            |          1,0000|        11446
SERRANA 6X1100    |100-6-6            |          1,0000|        11048
SERRANA 6X1100    |100R2AT-6          |          1,1000|        11107
SERRANA 6X1100    |112-6-6            |          1,0000|        11446
SERRANA 6X1300    |100-6-6            |          1,0000|        11048
SERRANA 6X1300    |100R2AT-6          |          1,3000|        11107
SERRANA 6X1300    |112-6-6            |          1,0000|        11446
SERRANA 6X1400    |100-6-6            |          1,0000|        11048
SERRANA 6X1400    |100R2AT-6          |          1,4000|        11107
SERRANA 6X1400    |112-6-6            |          1,0000|        11446
SERRANA 6X1500    |100-6-6            |          1,0000|        11048
SERRANA 6X1500    |100R2AT-6          |          1,5000|        11107
SERRANA 6X1500    |112-6-6            |          1,0000|        11446
SERRANA 6X1900    |100R2AT-6          |          1,9000|        11107
SERRANA 6X3500    |100-6-6            |          1,0000|        11048
SERRANA 6X3500    |100R2AT-6          |          3,5000|        11107
SERRANA 6X3500    |117-6-6            |          1,0000|        11547
SERRANA 6X5800    |100-6-6            |          1,0000|        11048
SERRANA 6X5800    |100R2AT-6          |          5,8000|        11107
SERRANA 6X5800    |112-6-6            |          1,0000|        11446
SERRANA 6X6500    |100-6-6            |          1,0000|        11048
SERRANA 6X6500    |100R2AT-6          |          6,5000|        11107
SERRANA 6X6500    |112-6-6            |          1,0000|        11446
SERRANA.2600      |100-20-16          |          1,0000|        11035
SERRANA.2600      |100R12-16          |          2,6000|        11069
SERRANA.2600      |HG311-42-16 DK     |          1,0000|       335206
SERTO 1/4X930     |HG311-16-4 DKO     |          1,0000|       335688
SERTO 1/4X930     |HG325-16-4         |          1,0000|        18809
