BARRA           |NOME                                      |GRUPO  |UNIDADE     |ICMS       |ORIGEM    |COMPRA         |MARGEM     |VENDA          |EST MINIMO       |EST ATUAL        |KIT  |ATIVO  |COD INTERNO|NCM           |RED BASE   |OBS1                                                          |OBS2
0403CF 1/2X1/4  |CONECTOR MACHO 0403CF 1/2X1/4N            |      3|UN          |    18,0000|000       |           5,80|   100,0000|          11,60|          50,0000|         337,0000|N    |S      |    10259  |74122000      |     0,0000|                                                              |                                                              
0403CF 1/2X3/8  |CONECTOR MACHO 0403CF 1/2X3/8N            |      3|UN          |    18,0000|000       |           6,20|   100,0000|          12,40|          50,0000|         122,0000|N    |S      |    10261  |74122000      |     0,0000|                                                              |                                                              
0403CF 1/4X1/4  |CONECTOR MACHO 0403CF 1/4X1/4N            |      3|UN          |    18,0000|000       |           2,18|   100,0000|           4,36|          50,0000|         825,0000|N    |S      |    10264  |74122000      |     0,0000|                                                              |                                                              
0403CF 1/4X1/8  |CONECTOR MACHO 0403CF 1/4X1/8N            |      3|UN          |    18,0000|000       |           1,95|   100,0000|           3,90|          50,0000|        1052,0000|N    |S      |    10265  |74122000      |     0,0000|                                                              |                                                              
0403CF 3/8X1/2  |CONECTOR MACHO 0403CF 3/8X1/2N            |      3|UN          |    18,0000|000       |           6,30|   100,0000|          12,60|          50,0000|         319,0000|N    |S      |    10268  |74122000      |     0,0000|                                                              |                                                              
0403CF 3/8X1/4  |CONECTOR MACHO 0403CF 3/8X1/4N            |      3|UN          |    18,0000|000       |           3,15|   100,0000|           6,30|           0,0000|        1500,0000|N    |S      |    10269  |74122000      |     0,0000|                                                              |                                                              
0403CF 3/8X3/8  |CONECTOR MACHO 0403CF 3/8X3/8N            |      3|UN          |    18,0000|000       |           4,63|   100,0000|           9,26|          50,0000|        1026,0000|N    |S      |    10271  |74122000      |     0,0000|                                                              |                                                              
0403CF 5/8X3/8  |CONECTOR MACHO 0403CF 5/8X3/8N            |      3|UN          |    18,0000|000       |           8,35|   100,0000|          16,70|           0,0000|          44,0000|N    |S      |    10274  |74122000      |     0,0000|                                                              |                                                              
0403CF5/16X1/4  |CONECTOR MACHO 0403CF 5/16X1/4N           |      3|UN          |    18,0000|000       |           3,30|   100,0000|           6,60|          50,0000|        1220,0000|N    |S      |    10288  |74122000      |     0,0000|                                                              |                                                              
0404CF 1/2      |UNIAO 0404CF 1/2                          |      3|UN          |    18,0000|000       |           9,90|   100,0000|          19,80|          50,0000|         243,0000|N    |S      |    10294  |74122000      |     0,0000|                                                              |                                                              
0404CF 1/4      |UNIAO 0404CF 1/4                          |      3|UN          |    18,0000|000       |           1,96|   100,0000|           3,92|          50,0000|         195,0000|N    |S      |    10296  |74122000      |     0,0000|                                                              |                                                              
0404CF 3/8      |UNIAO 0404CF 3/8                          |      3|UN          |    18,0000|000       |           5,90|   100,0000|          11,80|          50,0000|        2008,0000|N    |S      |    10299  |74122000      |     0,0000|                                                              |                                                              
0404CF 5/16     |UNIAO 0404CF 5/16                         |      3|UN          |    18,0000|000       |           4,20|   100,0000|           8,40|          50,0000|        1376,0000|N    |S      |    10301  |74122000      |     0,0000|                                                              |                                                              
0405CF 1/2X3/8  |CONECTOR FEMEA 0405CF 1/2X3/8N            |      3|UN          |    18,0000|000       |           6,80|   100,0000|          13,60|          50,0000|          11,0000|N    |N      |    10307  |              |     0,0000|                                                              |                                                              
0405CF 5/8X3/8  |CONECTOR FEMEA 0405CF 5/8X3/8N            |      3|UN          |    18,0000|000       |           9,00|   100,0000|          18,00|           5,0000|          -5,0000|N    |N      |    10312  |              |     0,0000|                                                              |                                                              
0405CF5/16X1/4  |CONECTOR FEMEA 0405CF 5/16X1/4            |      3|UN          |    18,0000|000       |           4,04|   100,0000|           8,08|           5,0000|          32,0000|N    |S      |    10314  |              |     0,0000|                                                              |                                                              
0405CF5/8X3/8C  |CONECTOR FEMEA 0405CF 5/8X3/8N CORPO      |      3|UN          |    18,0000|000       |           3,50|   100,0000|           7,00|           0,0000|           9,0000|N    |N      |    10315  |              |     0,0000|                                                              |                                                              
